order,m,tasks,CSP,n_res,n_req,u
1,8,4,0.5,4,30,0.1
2,8,4,0.5,4,30,0.3
3,8,4,0.5,4,30,0.5
4,8,4,0.5,4,30,0.7
5,8,4,0.5,4,30,1
6,8,4,0.5,4,10,0.5
7,8,4,0.5,4,30,0.5
8,8,4,0.5,4,50,0.5
9,8,4,0.5,2,30,0.5
10,8,4,0.5,4,30,0.5
11,8,4,0.5,6,30,0.5
12,8,4,0.5,8,30,0.5
13,8,4,0.1,4,30,0.5
14,8,4,0.3,4,30,0.5
15,8,4,0.5,4,30,0.5
16,8,4,0.7,4,30,0.5
17,8,4,1,4,30,0.5
18,8,4,0.5,4,30,0.5
19,8,6,0.5,4,30,0.5
20,8,8,0.5,4,30,0.5
21,4,4,0.5,4,30,0.5
22,8,4,0.5,4,30,0.5
23,16,4,0.5,4,30,0.5
24,32,4,0.5,4,30,0.5
